,Week_Of,Mon,Tue,Wed,Thu,Fri
142,1999 Apr-19 to Apr-23,2.10,2.18,2.17,2.24,2.23
143,,,,,,
144,1999 Apr-26 to Apr-30,2.23,2.32,2.31,2.37,2.25
145,1999 May- 3 to May- 7,2.23,2.32,2.36,2.32,2.25
146,1999 May-10 to May-14,2.25,2.29,2.19,2.21,2.28
147,1999 May-17 to May-21,2.31,2.30,2.27,2.26,2.21
148,1999 May-24 to May-28,2.19,2.18,2.22,2.27,2.29
149,,,,,,
150,1999 May-31 to Jun- 4,,2.34,2.36,2.35,2.31
151,1999 Jun- 7 to Jun-11,2.41,2.38,2.39,2.37,2.30
152,1999 Jun-14 to Jun-18,2.29,2.28,2.28,2.24,2.24
153,1999 Jun-21 to Jun-25,2.22,2.23,2.25,2.26,2.27
154,1999 Jun-28 to Jul- 2,2.25,2.33,2.34,2.29,2.26
155,,,,,,
156,1999 Jul- 5 to Jul- 9,,2.29,2.20,2.19,2.17
157,1999 Jul-12 to Jul-16,2.12,2.14,2.16,2.12,2.18
158,1999 Jul-19 to Jul-23,2.20,2.24,2.25,2.32,2.42
159,1999 Jul-26 to Jul-30,2.55,2.55,2.58,2.67,2.55
160,1999 Aug- 2 to Aug- 6,2.51,2.61,2.64,2.69,2.69
161,,,,,,
162,1999 Aug- 9 to Aug-13,2.73,2.77,2.79,2.73,2.71
163,1999 Aug-16 to Aug-20,2.73,2.70,2.75,2.87,2.97
164,1999 Aug-23 to Aug-27,2.95,3.01,3.10,2.97,2.87
165,1999 Aug-30 to Sep- 3,2.85,2.84,2.71,2.56,2.47
166,1999 Sep- 6 to Sep-10,,2.56,2.66,2.75,2.84
167,,,,,,
168,1999 Sep-13 to Sep-17,2.80,2.66,2.52,2.47,2.45
169,1999 Sep-20 to Sep-24,2.49,2.33,2.30,2.45,2.54
170,1999 Sep-27 to Oct- 1,2.51,2.52,2.57,2.31,2.39
171,1999 Oct- 4 to Oct- 8,2.49,2.45,2.48,2.49,2.35
172,1999 Oct-11 to Oct-15,2.53,2.65,2.81,2.70,2.66
173,,,,,,
174,1999 Oct-18 to Oct-22,2.82,2.89,2.90,2.99,3.00
175,1999 Oct-25 to Oct-29,2.98,2.96,3.02,2.97,2.76
176,1999 Nov- 1 to Nov- 5,2.73,2.81,2.82,2.75,2.62
177,1999 Nov- 8 to Nov-12,2.59,2.44,2.39,2.38,2.16
178,1999 Nov-15 to Nov-19,2.33,2.23,2.24,2.22,2.16
179,,,,,,
180,1999 Nov-22 to Nov-26,2.05,1.99,1.96,,
181,1999 Nov-29 to Dec- 3,2.25,2.22,2.17,2.18,2.16
182,1999 Dec- 6 to Dec-10,2.19,2.16,2.23,2.20,2.27
183,1999 Dec-13 to Dec-17,2.35,2.49,2.54,2.52,2.55
184,1999 Dec-20 to Dec-24,2.67,2.59,2.45,2.42,
185,,,,,,
186,1999 Dec-27 to Dec-31,2.36,2.32,2.34,2.30,
187,2000 Jan- 3 to Jan- 7,,2.16,2.17,2.18,2.19
188,2000 Jan-10 to Jan-14,2.20,2.23,2.25,2.29,2.28
189,2000 Jan-17 to Jan-21,,2.35,2.40,2.53,2.55
190,2000 Jan-24 to Jan-28,2.55,2.66,2.73,2.76,2.84
191,,,,,,
192,2000 Jan-31 to Feb- 4,2.69,2.81,2.91,2.85,2.78
193,2000 Feb- 7 to Feb-11,2.81,2.60,2.62,2.65,2.65
194,2000 Feb-14 to Feb-18,2.61,2.61,2.65,2.66,2.65
195,2000 Feb-21 to Feb-25,,2.55,2.50,2.52,2.51
196,2000 Feb-28 to Mar- 3,2.60,2.65,2.71,2.80,2.72
197,,,,,,
198,2000 Mar- 6 to Mar-10,2.76,2.78,2.74,2.69,
199,2000 Mar-13 to Mar-17,2.79,2.83,2.76,2.84,2.81
200,2000 Mar-20 to Mar-24,2.73,2.74,2.78,2.76,2.82
201,2000 Mar-27 to Mar-31,2.82,2.94,2.92,2.83,2.88
202,2000 Apr- 3 to Apr- 7,2.92,2.87,2.86,2.98,2.99
203,,,,,,
204,2000 Apr-10 to Apr-14,2.97,2.98,3.05,3.05,3.11
205,2000 Apr-17 to Apr-21,3.13,3.12,3.12,3.07,
206,2000 Apr-24 to Apr-28,3.12,3.18,3.12,3.06,3.09
207,2000 May- 1 to May- 5,3.16,3.20,3.18,3.09,3.11
208,2000 May- 8 to May-12,3.12,3.25,3.20,3.37,3.35
209,,,,,,
210,2000 May-15 to May-19,3.37,3.45,3.49,3.73,3.76
211,2000 May-22 to May-26,3.95,3.85,3.94,4.18,4.29
212,2000 May-29 to Jun- 2,,4.35,4.52,4.39,4.21
213,2000 Jun- 5 to Jun- 9,4.17,4.48,4.23,3.96,4.14
214,2000 Jun-12 to Jun-16,4.22,4.27,4.16,4.38,4.45
215,,,,,,
216,2000 Jun-19 to Jun-23,4.38,4.02,4.14,4.44,4.42
217,2000 Jun-26 to Jun-30,4.37,4.55,4.44,4.25,4.36
218,2000 Jul- 3 to Jul- 7,4.36,,4.24,4.02,4.00
219,2000 Jul-10 to Jul-14,4.19,4.17,4.29,4.08,4.17
220,2000 Jul-17 to Jul-21,4.13,3.99,4.07,3.86,3.88
221,,,,,,
222,2000 Jul-24 to Jul-28,3.74,3.63,3.59,3.75,3.89
223,2000 Jul-31 to Aug- 4,3.75,3.78,4.05,4.23,4.25
224,2000 Aug- 7 to Aug-11,4.39,4.46,4.48,4.43,4.44
225,2000 Aug-14 to Aug-18,4.42,4.24,4.24,4.35,4.38
226,2000 Aug-21 to Aug-25,4.60,4.80,4.67,4.53,4.55
227,,,,,,
228,2000 Aug-28 to Sep- 1,4.62,4.60,4.61,4.76,4.70
229,2000 Sep- 4 to Sep- 8,,4.81,4.89,4.85,4.74
230,2000 Sep-11 to Sep-15,4.85,4.96,5.06,5.10,5.28
231,2000 Sep-18 to Sep-22,5.06,5.22,5.24,5.16,5.16
232,2000 Sep-25 to Sep-29,5.12,5.28,5.34,5.20,5.10
233,,,,,,
234,2000 Oct- 2 to Oct- 6,5.24,5.29,5.22,5.21,5.04
235,2000 Oct- 9 to Oct-13,5.09,5.16,5.10,5.54,5.43
236,2000 Oct-16 to Oct-20,5.34,5.27,5.36,5.04,4.84
237,2000 Oct-23 to Oct-27,4.82,4.84,4.64,4.61,4.48
238,2000 Oct-30 to Nov- 3,4.56,4.37,4.40,4.50,4.64
239,,,,,,
240,2000 Nov- 6 to Nov-10,4.60,4.68,4.92,5.34,5.24
241,2000 Nov-13 to Nov-17,5.59,5.81,5.95,5.94,5.62
242,2000 Nov-20 to Nov-24,6.23,6.35,6.30,,
